name,meaning,gender
Aabavaanan,implies a person who is responsible and reliable,Boy
Aabharan,"means jewel, a variant form of name Abharan which means jewel in Sanskrit",Boy
Aabhas,"Sense or Feelings, has a Sanskrit meaning as realization",Boy
Aabhass,Awareness; A variant name of Abhas which means realization,Boy
Aabhavannan,Light; also means torch bearer who brings light,Boy
Aabheer,"means a Cow-herd in Sanskrit, it also means one who is fearless",Boy
Aabher,means a Cow-herd and is variant form of name Aabheer,Boy
Aachalendra (अचलेंद्र),"The word aachalendra means Himalayas, it signifies the person to be strong, Unchallengeable",Boy
Aacharappan,Restless or Proactive,Boy
Aacharya,means Learned Teacher; a variant of Sanskrit name Acharya; Another Name of Drona,Boy
Aachman,Intake of a Sip of Water Before a Yagya or Puja,Boy
Aachuthan (आचुथान),another name of Hindu Lord Krishna,Boy
Aadalarasan,means Attraction; one who attracts with his dance; It also represents one of many Lord Shiva's name in Tamil,Boy
Aadalarasu,means King of Dance in Tamil; represents Lord Shiva's name as Nataraja who is considered the Lord of Dance,Boy
Aadarsh,"means one who has principles in Sanskrit, ideal man; a variant form of name Adarsh",Boy
Aaddhar,"Foundation, Ground work of anything, Base of Life",Boy
Aadeep,"Light, Spiritual Illumination, A source of radiance",Boy
Aadesh,Command; Message; means instruction in Sanskrit,Boy
Aadesh (आदेश),an order; a command; an instruction,Boy
Aadeshwar,"aadeshwar is a south indian name that means God, or the won who is in a high position of authority",Boy
Aadhan,Be First,Boy
Aadhar,Base; A variant of Sanskrit name Aaddhar,Boy
Aadhav,Ruler - a person who rules or governs,Boy
Aadhavan,"Sun; Brilliant Like the Sun; Lord Vishnu, A variant of name Aadavan",Boy
Aadhev (आधेब),"word aadhev means First, Most eminent or exalted",Boy
Aadhi (आदि ),"aadhi means beginning, it sometimes also means friendly, imagination, creativity, expression, energetic",Boy
Aadhikara,"Lord Shiva, A variant of Sanskrit name Adhikara which means Principal",Boy
Aadhikesavan,One who is Ideal for Others,Boy
Aadhimulam,"One who is beginning of Everything, Source cause of everything",Boy
Aadhinarayanan,The First God; A name form of Lord Vishnu,Boy
Aadhiseshan,Any One; it is also considered as one of many names of Lord Vishnu,Boy
Aadhish (आधीश),"King, Emperor, Ruler, Person with supreme power",Boy
Aadhishankar,Sri Shankaracharya; Founder of Adwaitha Philosophy ; A name formed after Lord Shiva as Shankar,Boy
Aadhunik (आधुनिक),Modern; New; Latest; a name variant of Adhunik,Boy
Aadi (आदि),"First; Most Important,Beginning; Starting; Source form of life",Boy
Aadidev (आदिदेव),"the hindu word aadidev means First of God, the one closest to the almighty",Boy
Aadijay (आदिजय),The First Victory ; Success;,Boy
Aadimoola,Supreme Being ; A variant of name Aadimoolan,Boy
Aadimoolan,"The name aadimoolan means Dominant, supreme",Boy
Aadinath,God; Supreme Ruler of the Universe; The First God,Boy
Aadinatha (आदिनाथ),another name of Lord Vishnu or Lord Krishna,Boy
Aadipta,"Bright, Intelligent, Radiant, Luminous, Glorious",Boy
Aadir,Origin; Beginning; Point of space or time where anything begins; Source,Boy
Aadish,"Full of Wisdom; Intelligent, Knowledgeable, Noble",Boy
Aadishankar,Shrishankaracharya; The Founder of Adwaitha Philosophy,Boy
Aadishwar,Aadishwar; Bhagvan; Supreme God; First Jain Tirthankara,Boy
Aadit,Peak; Shade; Sheltered; Bright; Radiant; Illuminate,Boy
Aaditey,Son of Aditi ; refers to being son of the Earth or son of Mother of God,Boy
Aaditeya,Son of Aditi ; refers to being son of the Earth or son of Mother of God,Boy
Aadithya,The Sun ; a variant name is Aaditva,Boy
Aaditva,The Sun ; A derivative name from name Aadithya,Boy
Aaditya (आदित्या),The name aaditya means belonging to aditi or Sun,Boy
Aadityapal (आदित्यपाल),"The one having superior social standing and the one exalted, of high esteem",Boy
Aadityesh (आदित्‍येश),"aadityesh has meaning of the ultimate power of the sun, the God Sun",Boy
Aadiv,Delicate; sensitive; mindful to feelings of others,Boy
Aadiyapadham,One who is Very Active or Quick,Boy
Aadrik,aadrik has meaning of The rising sun between the mountains,Boy
Aadurusta (आदुरुस्त),one who is fortunate or lucky,Boy
Aadvay,Unique; unparalleled; exclusive; having no like or equal,Boy
Aadved (आद्वेद),Unequaled or unmatched in the whole Universe,Boy
Aadyot (आद्योत),one who is surrounded by light,Boy
Aagar,"the word aagra means a person having interest in Music, Excelling in music",Boy
Aaghosh (आघोष),to embrace or lapped,Boy
Aagman,Arrival ; Welcome; Warmly received,Boy
Aagney,Child of Flames; Son of the Fire God ; A variant name is Aagneya,Boy
Aagneya,Child of Flames; Son of Agni; Son of the Fire ; Derivative of name Aagney,Boy
Aagyakar (आज्ञाकार),"one who is hearsome, obedient or willing to comply to elders",Boy
Aagyey,Unknown; meaning something unexplored or not discovered,Boy
Aahan,Iron; Sword ; symbol of military power; inflexible and unrelenting power,Boy
Aahir,Dazzling; Brilliant; To impress deeply; Sparkling; Glittering,Boy
Aahish,Blessing of God,Boy
Aahlaad,Delight; To have great pleasure; someone who gives joy and enjoyment,Boy
Aahlaadith,Joyous Person ; A variant of name Aahlaad which means Delight,Boy
Aahlad (आह्लाद),"one who is happy, cheerful, and full of joy",Boy
Aahnik,Prayer; an object of worship; Devote to God; act of praying to God,Boy
Aahva,Beloved; one who is greatly loved; Dear to heart,Boy
Aahvan (आह्वान),"act of soicitaion, invitation or enticement",Boy
Aahwaanith,One who has Been Invited; Wanted; Something desired; wish,Boy
Aaish,God Blessings; bestowment by God,Boy
Aakaar,Shape;to evolve; to develop; A variant of name Akar,Boy
Aakaash,Sky,Boy
Aakanksh,Desire; Wish; Crave; Longing,Boy
Aakar,"Shape, To Form, To Materialize; to evolve; to develop; A variant of name Akar",Boy
Aakarsh,Attraction; Beauty; Charm; allurement; Fascinating; Enticing,Boy
Aakarshan,Attraction; Beauty; Charm; allurement; Fascinating; Enticing,Boy
Aakash,The Sky,Boy
Aakashdeep,The Sky; Vast Like the Sky,Boy
Aakav,"Shape, To Form, To Materialize; to evolve; to develop; A variant of name Akar",Boy
Aakesh,Sky ; A variant of Aakash,Boy
Aakhya (आख्या),one who has high reputation and fame; state of being famous,Boy
Aakhyaan,Legend; Story of Famous Person inscription,Boy
Aakil,Intelligent; Smart; Clever; Wise,Boy
Aakrit (आकृत),"aakrit has a meaning of appearance or shape, the person who is unmoldable",Boy
Aakriti,"Shape, To Form, To Materialize; to evolve; to develop ; A derivative from name Akar",Boy
Aalambi,Continuer,Boy
Aalap,"Musical Prelude, Conversation, Prelude to a raga; Skilled in music",Boy
Aalavandan (आलावंदन ),the name means The writing or something Majestic,Boy
Aalekh,Learned; One of many names of Lord Shiva; to become informed; gain knowledge,Boy
Aalhad,Joy; Happiness; Good Fortune; Pleasure; Be glad; Rejoice,Boy
Aalok,"Light, Bright; be illuminated; Radiating",Boy
Aaludaiperumal,Explorer of the Sea; Name in devotion of Lord Vishnu,Boy
Aamir,"Populous, Full Prosperous, Amply Settled; Civilise",Boy
Aamod,"Pleasure, Pleasant, Accept; Be glad; Rejoice",Boy
Aan (आन),the one having Self respect and self esteem,Boy
Aanal (अनल),Fire; God of fire,Boy
Aanan,Appearance; Face; Countenance; Approval; Permit ; Moral Support,Boy
Aanand,Joy Or Bliss; Happiness; Delight; Pleasure; Good Fortune; Contentment of Joy,Boy
Aanandamayee (आनंदमयी),the one who is very happy and joyous in nature,Boy
Aanandaprakash,Wild Wind,Boy
Aanandswarup,full of joy; Filled with Happiness; Delight; Pleasure;,Boy
Aanav,Humane; pertaining to life qualities,Boy
Aandaleeb,the bulbul bird,Boy
Aandi,The other name of lord Murugan,Boy
Aanga,Yard,Boy
Aangsuman,Sun Rays ; Brightness of the Sun; Radiance from the Sun,Boy
Aanick,Atom; smallest source of existence,Boy
Aanjaney,Lord Hanuman,Boy
Aanjaneya,Son of Anjani; Refers to Lord Hanuman,Boy
Aanjay,Unconquerable; being victorious; Win; Gain,Boy
Aansh,Portion; Allotment by God; Inherited,Boy
Aapal,Regard; sentiment of affection; esteem; respect,Boy
Aapt,"trustworthy, Friend; Believing; Faithful; Reliable",Boy
Aaquid,One who Seeks the Right Direction; One who Promises;,Boy
Aar,one who brings light; It is an abbreviated form of Aarav,Boy
Aaraadhak,Worshipper ; A variant form of Aaradhak,Boy
Aaradhak,worshipper of God ; A Variant name of Aaraadhak,Boy
